Model,Preprocessing,Augmentation,Learning Rate,Batch Size,Epochs,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Parameter Count,Model Size (MB),Inference Time (ms),CR Precision,CR Recall,CR F1,PO Precision,PO Recall,PO F1,LP Precision,LP Recall,LP F1,ND Precision,ND Recall,ND F1
Model A (Baseline CNN),CLAHE,Baseline,0.001,32,50,0.9709439032583137,0.9704821175166193,0.9670641550491796,0.9685962916772106,0.9708075212938475,241476,0.92,9.78,0.9738107963655799,0.9753747323340471,0.9745921369350093,0.9556119213696893,0.9792072774528915,0.9672657252888318,0.9640077821011673,0.9184430027803522,0.9406739439962032,0.9884979702300406,0.9952316076294278,0.9918533604887984
"Model B (WelDeNet-inspired, fixed)",CLAHE,Baseline,0.001,32,50,0.9981525025193148,0.9977205865118683,0.9982748908454265,0.9979954132806084,0.9981532604683061,352580,1.34,29.6,1.0,0.9962526766595289,0.9981228211316707,0.9987004548408057,0.9987004548408057,0.9987004548408057,0.9935424354243543,0.9981464318813716,0.9958391123439667,0.998639455782313,1.0,0.9993192648059904
Model C (EfficientNet-B0),CLAHE,Baseline,Staged,32,40,0.9996640913671482,0.9996058608402721,0.9996058608402721,0.9996058608402721,0.9996640913671482,4012672,15.31,35.18,1.0,1.0,1.0,0.9993502274204028,0.9993502274204028,0.9993502274204028,0.9990732159406858,0.9990732159406858,0.9990732159406858,1.0,1.0,1.0
